channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
8372660,8388607,-3606509,-123774,8388607,-7439458,-3451805,2646371,1405125867.930235,7
8372894,8388607,-3606654,-124038,8388607,-7439642,-3452507,2646093,1405125867.941595,7
8372748,8388607,-3606421,-123899,8388607,-7439351,-3451996,2646874,1405125867.945906,7
8372825,8388607,-3606353,-123752,8388607,-7439318,-3452371,2646972,1405125867.95621,7
8372906,8388607,-3605931,-123167,8388607,-7439269,-3452306,2647472,1405125867.959617,7
8372671,8388607,-3605394,-122405,8388607,-7438948,-3451559,2648246,1405125867.96468,7
8373104,8388607,-3605744,-123101,8388607,-7439271,-3452610,2647966,1405125867.973278,7
8372955,8388607,-3604876,-121806,8388607,-7438969,-3451374,2649317,1405125867.978211,7
8372973,8388607,-3605112,-122093,8388607,-7438944,-3451836,2649138,1405125867.988999,7
8373238,8388607,-3605422,-122759,8388607,-7439095,-3452420,2649152,1405125867.995318,7
8372930,8388607,-3604415,-121318,8388607,-7438622,-3451546,2650288,1405125868.000108,7
8373299,8388607,-3604649,-121743,8388607,-7438887,-3452332,2650192,1405125868.010935,7
8373241,8388607,-3604055,-120906,8388607,-7438748,-3451487,2651064,1405125868.018373,7
8373497,8388607,-3604420,-121477,8388607,-7438903,-3452385,2650817,1405125868.024112,7
8373236,8388607,-3603952,-120948,8388607,-7438506,-3451769,2651688,1405125868.033584,7
8373168,8388607,-3603909,-120959,8388607,-7438321,-3452167,2651828,1405125868.045994,7
8373376,8388607,-3603921,-121030,8388607,-7438479,-3452519,2651776,1405125868.050069,7
8373029,8388607,-3603141,-119871,8388607,-7437979,-3451394,2653009,1405125868.057385,7
8373526,8388607,-3603833,-120952,8388607,-7438386,-3452681,2652458,1405125868.062033,7
8373442,8388607,-3603444,-120489,8388607,-7438224,-3452062,2653171,1405125868.065804,7
8373557,8388607,-3602873,-119726,8388607,-7438202,-3451792,2653762,1405125868.073579,7
8373640,8388607,-3602896,-119979,8388607,-7438171,-3452041,2654012,1405125868.077432,7
8373478,8388607,-3602421,-119137,8388607,-7437878,-3451676,2654667,1405125868.081229,7
8373614,8388607,-3602869,-119822,8388607,-7437974,-3452546,2654226,1405125868.089316,7
8373699,8388607,-3602105,-118892,8388607,-7437896,-3451325,2655589,1405125868.095281,7
8373767,8388607,-3602447,-119384,8388607,-7437866,-3452302,2655233,1405125868.107198,7
8373597,8388607,-3602499,-119558,8388607,-7437638,-2097152,4186692,1405125868.112686,7
8373558,8388607,-3601834,-118494,8388607,-7437454,-3451381,2656593,1405125868.122167,7
8373714,8388607,-3602032,-118846,8388607,-7437512,-3452381,2656286,1405125868.128597,7
8373471,8388607,-3601112,-117554,8388607,-7437108,-3451090,2657682,1405125868.137943,7
8373661,8388607,-3601336,-117897,8388607,-7437259,-3451885,2657273,1405125868.1466,7
8373476,8388607,-3601117,-117664,8388607,-7436951,-3451737,2657731,1405125868.154638,7
8373436,8388607,-3601272,-117960,8388607,-7436796,-3451941,2658027,1405125868.15848,7
8373399,8388607,-3600912,-117617,8388607,-7436624,-3451792,2658598,1405125868.164496,7
8373286,8388607,-3600330,-116773,8388607,-7436430,-3451044,2659391,1405125868.172153,7
8373756,8388607,-3600713,-117229,8388607,-7436804,-3452310,2658892,1405125868.175398,7
8373256,8388607,-3600086,-116282,8388607,-7436166,-3451281,2660115,1405125868.179092,7
8373916,8388607,-3600512,-116954,8388607,-7436734,-3452337,2659711,1405125868.187596,7
8373882,8388607,-3600259,-116763,8388607,-7436628,-3452032,2660168,1405125868.19405,7
8373709,8388607,-3599523,-115713,8388607,-7436312,-3451196,2661173,1405125868.199636,7
8373864,8388607,-3599877,-116239,8388607,-7436372,-3452257,2660798,1405125868.210389,7
8373741,8388607,-3599079,-115131,8388607,-7436102,-3451249,2661972,1405125868.215784,7
8374049,8388607,-3599289,-115474,8388607,-7436364,-3452054,2661603,1405125868.22375,7
8373498,8388607,-3598661,-114739,8388607,-7435656,-3451293,2662616,1405125868.228432,7
8373874,8388607,-3598832,-115021,8388607,-7435931,-3451669,2662715,1405125868.236554,7
8374013,8388607,-3598511,-114560,8388607,-7435931,-3451382,2663399,1405125868.242291,7
8373895,8388607,-3598198,-114126,8388607,-7435742,-3450797,2664063,1405125868.248786,7
8373950,8388607,-3598548,-114810,8388607,-7435701,-3451876,2663678,1405125868.257307,7
8373653,8388607,-3597477,-113212,8388607,-7435236,-3450483,2665105,1405125868.262942,7
8374109,8388607,-3598101,-114172,8388607,-7435608,-3451794,2664532,1405125868.27366,7
8373968,8388607,-3597825,-113845,8388607,-7435399,-3451362,2665024,1405125868.27825,7
8374048,8388607,-3597057,-112702,8388607,-7435335,-3450762,2665841,1405125868.286342,7
8373877,8388607,-3597239,-113181,8388607,-7435064,-3451311,2665889,1405125868.291353,7
8373709,8388607,-3596811,-112542,8388607,-7434752,-3450502,2666898,1405125868.297006,7
8374015,8388607,-3597321,-113217,8388607,-7435032,-3451493,2666349,1405125868.309651,7
8373831,8388607,-3596577,-112084,8388607,-7434707,-3450746,2667300,1405125868.314324,7
8373886,8388607,-3596741,-112386,8388607,-7434647,-3451267,2667405,1405125868.325769,7
8374096,-4194304,8373894,8388607,-3596344,-111768,8388607,-7434521,1405125868.329024,7
8373758,8388607,-3596185,-111499,8388607,-7434311,-3450332,2668669,1405125868.333031,7
8374351,8388607,-3596752,-112335,8388607,-7434820,-3451518,2668169,1405125868.342379,7
8373994,8388607,-3595791,-110986,8388607,-7434309,-3450186,2669582,1405125868.34589,7
8374124,8388607,-3595934,-111291,8388607,-7434386,-3450720,4128768,1405125868.354578,7
8373901,8388607,-3595475,-110619,8388607,-7434034,-3450696,2669793,1405125868.35952,7
8373958,8388607,-3595356,-110463,8388607,-7433979,-3450477,2670256,1405125868.370235,7
8374163,8388607,-3595452,-110652,8388607,-7434072,-3450856,2670383,1405125868.376222,7
8373959,8388607,-3594756,-109584,8388607,-7433784,-3449994,2671221,1405125868.382019,7
8374070,8388607,-3595317,-110635,8388607,-7433789,-3450910,2670909,1405125868.3903,7
8374060,8388607,-3594544,-109537,8388607,-7433642,-3449872,2672051,1405125868.394614,7
8374353,8388607,-3595009,-110138,8388607,-7433843,-3450841,2671728,1405125868.405376,7
8374354,8388607,-3594856,-109944,8388607,-7433778,-3450838,2671962,1405125868.411839,7
8373742,8388607,-3593674,-108208,8388607,-7433009,-3449619,2673309,1405125868.418684,7
8374387,8388607,-3594245,-109167,8388607,-7433571,-3450697,2672866,1405125868.425827,7
8374184,8388607,-3593605,-108103,8388607,-7433237,-3449615,2673961,1405125868.429125,7
8374345,8388607,-3593916,-108504,8388607,-7433368,-3450401,2673524,1405125868.438023,7
8374243,8388607,-3593870,-108607,8388607,-7433147,-3450226,2674026,1405125868.444469,7
8374241,8388607,-3593407,-107870,8388607,-7433021,-3450091,2674505,1405125868.453614,7
8374211,8388607,-3593431,-108019,8388607,-7432875,-3450210,2674862,1405125868.45924,7
8374031,8388607,-3593144,-107536,8388607,-7432626,-3449584,2675483,1405125868.464461,7
8374464,8388607,-3593596,-108103,8388607,-7432978,-3450899,2674812,1405125868.473298,7
8374303,8388607,-3592762,-107003,8388607,-7432669,-3449638,2676148,1405125868.47705,7
8374524,8388607,-3592986,-107331,8388607,-7432789,-3450592,2675865,1405125868.487191,7
8374523,8388607,-3592817,-107174,8388607,-7432721,-3450467,2676151,1405125868.493449,7
8373988,8388607,-3592439,-106635,8388607,-7432052,-3449564,2677192,1405125868.499682,7
8374446,8388607,-3592682,-106999,8388607,-7432424,-3450495,2676883,1405125868.510891,7
8374093,8388607,-3591660,-105610,8388607,-7431913,-3449208,2678285,1405125868.515653,7
